Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Geology and Geophysics, Department of",University of Washington,"Atmospheric Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Washington,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Washington,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Washington,"Earth and Space Sciences, Department of",2,4,0,0,1,0,0,0
"Geology and Geophysics, Department of",University of Washington,"Oceanography, School of",5,6,0,0,2,0,0,0
"Geology and Geophysics, Department of",University of Wisconsin - Madison,"Civil and Environmental Engineering, Department of",2,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Wisconsin - Madison,"Geoscience, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Wisconsin - Madison,"Soil Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Wisconsin - Madison,"Bacteriology, Department of",4,2,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Wisconsin - Milwaukee,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Wyoming,"Geology and Geophysics, Department of",4,7,0,0,1,0,0,0
"Geology and Geophysics, Department of",Utah State University,"Geosciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Utah State University,"Plants, Soils and Climate, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Vanderbilt University,"Earth and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Virginia Polytechnic Institute and State University,"Geosciences, Department of",4,4,0,0,2,0,0,0
"Geology and Geophysics, Department of",Washington University in St. Louis,"Earth, Environmental, and Planetary Sciences, Department of",2,1,0,0,1,0,0,0
"Geology and Geophysics, Department of",West Virginia University,"Biology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Yale University,"Earth & Planetary Sciences, Department of",3,4,0,0,1,0,0,0
"Geology and Geophysics, Department of","New School, The","Anthropology, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of North Carolina Wilmington,"Earth and Ocean Sciences, Department of",2,7,0,0,0,0,0,0
"Geology and Geophysics, Department of",East Carolina University,"Geological Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","University of California, Merced","Life and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",James Madison University,"Geology and Environmental Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","California State University, Sacramento","Communication Studies, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of","California State University, Sacramento","Geology, Department of",1,0,0,0,1,0,0,0
"Geology and Geophysics, Department of",Rowan University,"Environmental Science, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Montclair State University,"Earth and Environmental Studies, Department of",1,1,0,0,2,0,0,0
"Geology and Geophysics, Department of",University of Minnesota - Duluth,"Earth and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Geology and Geophysics, Department of",Molloy University,"Biology, Chemistry, Earth & Environmental Science, Program in",1,4,0,0,0,0,0,0
"Geology and Geophysics, Department of",University of Texas Rio Grande Valley,"Earth, Environmental, and Marine Sciences, School of",1,3,0,0,1,0,0,0
